"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"4/7/2022 4 p.m. EDT",30624,24449,29516,33852,87578,76553,13080,36598,17857,24916,10939,15971,40795
US48,"4/7/2022 5 p.m. EDT",31856,24440,29300,34060,87862,76005,13445,36102,18062,25125,11513,15812,41344
US48,"4/7/2022 6 p.m. EDT",33556,24358,29277,33754,88279,76002,13987,35905,18249,25142,12235,15921,42043
US48,"4/7/2022 7 p.m. EDT",35894,24132,29251,32992,88358,76409,14143,36112,18178,24878,12942,16025,42526
US48,"4/7/2022 8 p.m. EDT",38234,23835,29383,31944,88945,76931,14242,36655,18090,24457,13755,16344,42116
US48,"4/7/2022 9 p.m. EDT",40063,24037,29753,31762,89489,78338,13902,37415,17646,24867,14046,17057,41687
US48,"4/7/2022 10 p.m. EDT",40843,22916,30396,29823,87022,78990,13063,38227,16889,24609,14151,17231,41853
US48,"4/7/2022 11 p.m. EDT",40489,21315,29805,27265,83421,76793,12021,38802,15872,23395,13898,16681,40689
US48,"4/8/2022 12 a.m. EDT",39352,19540,28554,24321,80572,73263,11082,38496,14843,22013,13401,15880,38357
US48,"4/8/2022 1 a.m. EDT",37380,18348,27458,22158,78581,70816,10671,36589,14112,21133,12665,15108,35872
US48,"4/8/2022 2 a.m. EDT",34285,17687,26850,20359,76917,69315,10668,34345,13630,20334,11865,14806,33990
US48,"4/8/2022 3 a.m. EDT",31498,17447,26607,19260,76169,68365,10557,32571,13346,20162,10949,14671,32848
US48,"4/8/2022 4 a.m. EDT",29401,17367,26553,18578,76338,67359,10536,31463,13254,20303,10212,14749,32267
US48,"4/8/2022 5 a.m. EDT",27707,17847,26731,18459,76958,67705,10765,30913,13438,20662,9756,14987,32259
US48,"4/8/2022 6 a.m. EDT",26723,19233,27262,19294,79804,69086,11141,30856,14174,21066,9484,15721,32837
US48,"4/8/2022 7 a.m. EDT",26228,21649,28573,21100,86529,72982,12308,31305,15502,22852,9411,16843,34686
US48,"4/8/2022 8 a.m. EDT",26156,22956,30704,22093,90267,78440,13181,32660,16425,24541,9635,18227,37915
US48,"4/8/2022 9 a.m. EDT",27337,23009,31967,23006,89428,81242,13280,35133,16580,25310,10154,18600,39547
US48,"4/8/2022 10 a.m. EDT",29029,22594,32074,23953,87668,81441,12981,37371,16280,25207,10354,18643,39781
US48,"4/8/2022 11 a.m. EDT",29886,22162,31869,24928,85989,81165,12509,38448,15923,24976,10305,18700,39867
US48,"4/8/2022 12 p.m. EDT",30328,21841,31644,25472,85139,80568,11910,38830,15794,24695,10417,18676,39885
US48,"4/8/2022 1 p.m. EDT",30465,21799,31291,25917,84264,79754,11609,38557,15597,24497,10490,18693,39773
US48,"4/8/2022 2 p.m. EDT",31010,21685,30709,26645,83659,79039,11386,37970,15495,24464,10734,18577,39706
US48,"4/8/2022 3 p.m. EDT",31960,21463,30208,27224,83136,78206,11509,37405,15296,24249,11077,18412,39931
US48,"4/8/2022 4 p.m. EDT",33249,21366,29628,27801,83286,77193,11601,37271,15211,24185,11611,18201,40229
US48,"4/8/2022 5 p.m. EDT",34615,21439,29065,28296,83206,76413,11580,37128,15417,24500,12202,18341,40642
